Taal;Classificatie;Tabel;Class-tekstcodenotatie;Class-codenotatie;tekst_NL-SfB;fullname_nl;shortname_nl
nl-NL;NL/SfB;Tabel 1;(24.11);24.11;"trappen en hellingen; trappen, rechte steektrappen";"(24.11) trappen en hellingen; trappen, rechte steektrappen";NL/SfB - Tabel 1 - (24.11)
nl-NL;NL/SfB;Tabel 1;(24.12);24.12;"trappen en hellingen; trappen, niet-rechte steektrappen";"(24.12) trappen en hellingen; trappen, niet-rechte steektrappen";NL/SfB - Tabel 1 - (24.12)
nl-NL;NL/SfB;Tabel 1;(24.13);24.13;"trappen en hellingen; trappen, spiltrappen";"(24.13) trappen en hellingen; trappen, spiltrappen";NL/SfB - Tabel 1 - (24.13)
nl-NL;NL/SfB;Tabel 1;(24.15);24.15;"trappen en hellingen; trappen, bordessen";"(24.15) trappen en hellingen; trappen, bordessen";NL/SfB - Tabel 1 - (24.15)
nl-NL;NL/SfB;Tabel 1;(24.2);24.2;"trappen en hellingen; hellingen";"(24.2) trappen en hellingen; hellingen";NL/SfB - Tabel 1 - (24.2)
nl-NL;NL/SfB;Tabel 1;(24.20);24.20;"trappen en hellingen; hellingen, algemeen (verzamelniveau)";"(24.20) trappen en hellingen; hellingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (24.20)
nl-NL;NL/SfB;Tabel 1;(24.21);24.21;"trappen en hellingen; hellingen, beloopbare hellingen";"(24.21) trappen en hellingen; hellingen, beloopbare hellingen";NL/SfB - Tabel 1 - (24.21)
nl-NL;NL/SfB;Tabel 1;(24.22);24.22;"trappen en hellingen; hellingen, berijdbare hellingen";"(24.22) trappen en hellingen; hellingen, berijdbare hellingen";NL/SfB - Tabel 1 - (24.22)
nl-NL;NL/SfB;Tabel 1;(24.25);24.25;"trappen en hellingen; hellingen, bordessen";"(24.25) trappen en hellingen; hellingen, bordessen";NL/SfB - Tabel 1 - (24.25)
nl-NL;NL/SfB;Tabel 1;(24.3);24.3;"trappen en hellingen; ladders en klimijzers";"(24.3) trappen en hellingen; ladders en klimijzers";NL/SfB - Tabel 1 - (24.3)
nl-NL;NL/SfB;Tabel 1;(24.30);24.30;"trappen en hellingen; ladders en klimijzers, algemeen (verzamelniveau)";"(24.30) trappen en hellingen; ladders en klimijzers, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (24.30)
nl-NL;NL/SfB;Tabel 1;(24.31);24.31;"trappen en hellingen; ladders en klimijzers, ladders";"(24.31) trappen en hellingen; ladders en klimijzers, ladders";NL/SfB - Tabel 1 - (24.31)
nl-NL;NL/SfB;Tabel 1;(24.32);24.32;"trappen en hellingen; ladders en klimijzers, klimijzers";"(24.32) trappen en hellingen; ladders en klimijzers, klimijzers";NL/SfB - Tabel 1 - (24.32)
nl-NL;NL/SfB;Tabel 1;(24.35);24.35;"trappen en hellingen; ladders en klimijzers, bordessen";"(24.35) trappen en hellingen; ladders en klimijzers, bordessen";NL/SfB - Tabel 1 - (24.35)
nl-NL;NL/SfB;Tabel 1;(25);25;-gereserveerd-;(25) -gereserveerd-;NL/SfB - Tabel 1 - (25)
nl-NL;NL/SfB;Tabel 1;(26);26;-gereserveerd-;(26) -gereserveerd-;NL/SfB - Tabel 1 - (26)
nl-NL;NL/SfB;Tabel 1;(27);27;Daken;(27) Daken;NL/SfB - Tabel 1 - (27)
nl-NL;NL/SfB;Tabel 1;(27.0);27.0;"daken; algemeen";"(27.0) daken; algemeen";NL/SfB - Tabel 1 - (27.0)
nl-NL;NL/SfB;Tabel 1;(27.1);27.1;"daken; niet constructief";"(27.1) daken; niet constructief";NL/SfB - Tabel 1 - (27.1)
nl-NL;NL/SfB;Tabel 1;(27.10);27.10;"daken; niet constructief, algemeen (verzamelniveau)";"(27.10) daken; niet constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (27.10)
nl-NL;NL/SfB;Tabel 1;(27.11);27.11;"daken; niet constructief, vlakke daken";"(27.11) daken; niet constructief, vlakke daken";NL/SfB - Tabel 1 - (27.11)
nl-NL;NL/SfB;Tabel 1;(27.12);27.12;"daken; niet constructief, hellende daken";"(27.12) daken; niet constructief, hellende daken";NL/SfB - Tabel 1 - (27.12)
nl-NL;NL/SfB;Tabel 1;(27.13);27.13;"daken; niet constructief, luifels";"(27.13) daken; niet constructief, luifels";NL/SfB - Tabel 1 - (27.13)
nl-NL;NL/SfB;Tabel 1;(27.14);27.14;"daken; niet constructief, overkappingen";"(27.14) daken; niet constructief, overkappingen";NL/SfB - Tabel 1 - (27.14)
nl-NL;NL/SfB;Tabel 1;(27.16);27.16;"daken; niet constructief, gootconstructies";"(27.16) daken; niet constructief, gootconstructies";NL/SfB - Tabel 1 - (27.16)
nl-NL;NL/SfB;Tabel 1;(27.2);27.2;"daken; constructief";"(27.2) daken; constructief";NL/SfB - Tabel 1 - (27.2)
nl-NL;NL/SfB;Tabel 1;(27.20);27.20;"daken; constructief, algemeen (verzamelniveau)";"(27.20) daken; constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (27.20)
nl-NL;NL/SfB;Tabel 1;(27.21);27.21;"daken; constructief, vlakke daken";"(27.21) daken; constructief, vlakke daken";NL/SfB - Tabel 1 - (27.21)
nl-NL;NL/SfB;Tabel 1;(27.22);27.22;"daken; constructief, hellende daken";"(27.22) daken; constructief, hellende daken";NL/SfB - Tabel 1 - (27.22)
nl-NL;NL/SfB;Tabel 1;(27.23);27.23;"daken; constructief, luifels";"(27.23) daken; constructief, luifels";NL/SfB - Tabel 1 - (27.23)
nl-NL;NL/SfB;Tabel 1;(27.24);27.24;"daken; constructief, overkappingen";"(27.24) daken; constructief, overkappingen";NL/SfB - Tabel 1 - (27.24)
nl-NL;NL/SfB;Tabel 1;(27.26);27.26;"daken; constructief, gootconstructies";"(27.26) daken; constructief, gootconstructies";NL/SfB - Tabel 1 - (27.26)
nl-NL;NL/SfB;Tabel 1;(28);28;Hoofddraagconstructies;(28) Hoofddraagconstructies;NL/SfB - Tabel 1 - (28)
nl-NL;NL/SfB;Tabel 1;(28.0);28.0;"hoofddraagconstructies; algemeen";"(28.0) hoofddraagconstructies; algemeen";NL/SfB - Tabel 1 - (28.0)
nl-NL;NL/SfB;Tabel 1;(28.1);28.1;"hoofddraagconstructies; kolommen en liggers";"(28.1) hoofddraagconstructies; kolommen en liggers";NL/SfB - Tabel 1 - (28.1)
nl-NL;NL/SfB;Tabel 1;(28.10);28.10;"hoofddraagconstructies; kolommen en liggers, algemeen (verzamelniveau)";"(28.10) hoofddraagconstructies; kolommen en liggers, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (28.10)
nl-NL;NL/SfB;Tabel 1;(28.11);28.11;"hoofddraagconstructies; kolommen en liggers, kolom-/liggerconstructies";"(28.11) hoofddraagconstructies; kolommen en liggers, kolom-/liggerconstructies";NL/SfB - Tabel 1 - (28.11)
nl-NL;NL/SfB;Tabel 1;(28.12);28.12;"hoofddraagconstructies; kolommen en liggers, spanten";"(28.12) hoofddraagconstructies; kolommen en liggers, spanten";NL/SfB - Tabel 1 - (28.12)
nl-NL;NL/SfB;Tabel 1;(28.2);28.2;"hoofddraagconstructies; wanden en vloeren";"(28.2) hoofddraagconstructies; wanden en vloeren";NL/SfB - Tabel 1 - (28.2)
nl-NL;NL/SfB;Tabel 1;(28.20);28.20;"hoofddraagconstructies; wanden en vloeren, algemeen (verzamelniveau)";"(28.20) hoofddraagconstructies; wanden en vloeren, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (28.20)
nl-NL;NL/SfB;Tabel 1;(28.21);28.21;"hoofddraagconstructies; wanden en vloeren, wand-/vloerconstructies";"(28.21) hoofddraagconstructies; wanden en vloeren, wand-/vloerconstructies";NL/SfB - Tabel 1 - (28.21)
nl-NL;NL/SfB;Tabel 1;(28.3);28.3;"hoofddraagconstructies; ruimte-eenheden";"(28.3) hoofddraagconstructies; ruimte-eenheden";NL/SfB - Tabel 1 - (28.3)
nl-NL;NL/SfB;Tabel 1;(28.30);28.30;"hoofddraagconstructies; ruimte-eenheden, algemeen (verzamelniveau)";"(28.30) hoofddraagconstructies; ruimte-eenheden, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (28.30)
nl-NL;NL/SfB;Tabel 1;(28.31);28.31;"hoofddraagconstructies; ruimte-eenheden, doosconstructies";"(28.31) hoofddraagconstructies; ruimte-eenheden, doosconstructies";NL/SfB - Tabel 1 - (28.31)
nl-NL;NL/SfB;Tabel 1;(29);29;-gereserveerd-;(29) -gereserveerd-;NL/SfB - Tabel 1 - (29)
nl-NL;NL/SfB;Tabel 1;(3-);3-;AFBOUW;(3-) AFBOUW;NL/SfB - Tabel 1 - (3-)
nl-NL;NL/SfB;Tabel 1;(30);30;-gereserveerd-;(30) -gereserveerd-;NL/SfB - Tabel 1 - (30)
nl-NL;NL/SfB;Tabel 1;(31);31;Buitenwandopeningen;(31) Buitenwandopeningen;NL/SfB - Tabel 1 - (31)
nl-NL;NL/SfB;Tabel 1;(31.0);31.0;"buitenwandopeningen; algemeen";"(31.0) buitenwandopeningen; algemeen";NL/SfB - Tabel 1 - (31.0)
nl-NL;NL/SfB;Tabel 1;(31.1);31.1;"buitenwandopeningen; niet gevuld";"(31.1) buitenwandopeningen; niet gevuld";NL/SfB - Tabel 1 - (31.1)
nl-NL;NL/SfB;Tabel 1;(31.10);31.10;"buitenwandopeningen; niet gevuld, algemeen (verzamelniveau)";"(31.10) buitenwandopeningen; niet gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (31.10)
nl-NL;NL/SfB;Tabel 1;(31.11);31.11;"buitenwandopeningen; niet gevuld, daglichtopeningen";"(31.11) buitenwandopeningen; niet gevuld, daglichtopeningen";NL/SfB - Tabel 1 - (31.11)
nl-NL;NL/SfB;Tabel 1;(31.12);31.12;"buitenwandopeningen; niet gevuld, buitenluchtopeningen";"(31.12) buitenwandopeningen; niet gevuld, buitenluchtopeningen";NL/SfB - Tabel 1 - (31.12)
nl-NL;NL/SfB;Tabel 1;(31.2);31.2;"buitenwandopeningen; gevuld met ramen";"(31.2) buitenwandopeningen; gevuld met ramen";NL/SfB - Tabel 1 - (31.2)
nl-NL;NL/SfB;Tabel 1;(31.20);31.20;"buitenwandopeningen; gevuld met ramen, algemeen (verzamelniveau)";"(31.20) buitenwandopeningen; gevuld met ramen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (31.20)
nl-NL;NL/SfB;Tabel 1;(31.21);31.21;"buitenwandopeningen; gevuld met ramen, gesloten ramen";"(31.21) buitenwandopeningen; gevuld met ramen, gesloten ramen";NL/SfB - Tabel 1 - (31.21)
nl-NL;NL/SfB;Tabel 1;(31.22);31.22;"buitenwandopeningen; gevuld met ramen, ramen draaiend aan een kant";"(31.22) buitenwandopeningen; gevuld met ramen, ramen draaiend aan een kant";NL/SfB - Tabel 1 - (31.22)
nl-NL;NL/SfB;Tabel 1;(31.23);31.23;"buitenwandopeningen; gevuld met ramen, schuiframen";"(31.23) buitenwandopeningen; gevuld met ramen, schuiframen";NL/SfB - Tabel 1 - (31.23)
nl-NL;NL/SfB;Tabel 1;(31.24);31.24;"buitenwandopeningen; gevuld met ramen, ramen draaiend op verticale of horizontale as";"(31.24) buitenwandopeningen; gevuld met ramen, ramen draaiend op verticale of horizontale as";NL/SfB - Tabel 1 - (31.24)
nl-NL;NL/SfB;Tabel 1;(31.25);31.25;"buitenwandopeningen; gevuld met ramen, combinatieramen";"(31.25) buitenwandopeningen; gevuld met ramen, combinatieramen";NL/SfB - Tabel 1 - (31.25)
nl-NL;NL/SfB;Tabel 1;(31.3);31.3;"buitenwandopeningen; gevuld met deuren";"(31.3) buitenwandopeningen; gevuld met deuren";NL/SfB - Tabel 1 - (31.3)
nl-NL;NL/SfB;Tabel 1;(31.30);31.30;"buitenwandopeningen; gevuld met deuren, algemeen (verzamelniveau)";"(31.30) buitenwandopeningen; gevuld met deuren, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (31.30)
nl-NL;NL/SfB;Tabel 1;(31.31);31.31;"buitenwandopeningen; gevuld met deuren, draaideuren";"(31.31) buitenwandopeningen; gevuld met deuren, draaideuren";NL/SfB - Tabel 1 - (31.31)
nl-NL;NL/SfB;Tabel 1;(31.32);31.32;"buitenwandopeningen; gevuld met deuren, schuifdeuren";"(31.32) buitenwandopeningen; gevuld met deuren, schuifdeuren";NL/SfB - Tabel 1 - (31.32)
nl-NL;NL/SfB;Tabel 1;(31.33);31.33;"buitenwandopeningen; gevuld met deuren, tuimeldeuren";"(31.33) buitenwandopeningen; gevuld met deuren, tuimeldeuren";NL/SfB - Tabel 1 - (31.33)
nl-NL;NL/SfB;Tabel 1;(31.34);31.34;"buitenwandopeningen; gevuld met deuren, tourniquets";"(31.34) buitenwandopeningen; gevuld met deuren, tourniquets";NL/SfB - Tabel 1 - (31.34)
nl-NL;NL/SfB;Tabel 1;(31.4);31.4;"buitenwandopeningen; gevuld met puien";"(31.4) buitenwandopeningen; gevuld met puien";NL/SfB - Tabel 1 - (31.4)
nl-NL;NL/SfB;Tabel 1;(31.40);31.40;"buitenwandopeningen; gevuld met puien, algemeen (verzamelniveau)";"(31.40) buitenwandopeningen; gevuld met puien, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (31.40)
nl-NL;NL/SfB;Tabel 1;(31.41);31.41;"buitenwandopeningen; gevuld met puien, gesloten puien";"(31.41) buitenwandopeningen; gevuld met puien, gesloten puien";NL/SfB - Tabel 1 - (31.41)
nl-NL;NL/SfB;Tabel 1;(32);32;Binnenwandopeningen;(32) Binnenwandopeningen;NL/SfB - Tabel 1 - (32)
nl-NL;NL/SfB;Tabel 1;(32.0);32.0;"binnenwandopeningen; algemeen";"(32.0) binnenwandopeningen; algemeen";NL/SfB - Tabel 1 - (32.0)
nl-NL;NL/SfB;Tabel 1;(32.1);32.1;"binnenwandopeningen; niet gevuld";"(32.1) binnenwandopeningen; niet gevuld";NL/SfB - Tabel 1 - (32.1)
nl-NL;NL/SfB;Tabel 1;(32.10);32.10;"binnenwandopeningen; niet gevuld, algemeen (verzamelniveau)";"(32.10) binnenwandopeningen; niet gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (32.10)
nl-NL;NL/SfB;Tabel 1;(32.11);32.11;"binnenwandopeningen; niet gevuld, openingen als doorgang";"(32.11) binnenwandopeningen; niet gevuld, openingen als doorgang";NL/SfB - Tabel 1 - (32.11)
nl-NL;NL/SfB;Tabel 1;(32.12);32.12;"binnenwandopeningen; niet gevuld, openingen als doorzicht";"(32.12) binnenwandopeningen; niet gevuld, openingen als doorzicht";NL/SfB - Tabel 1 - (32.12)
nl-NL;NL/SfB;Tabel 1;(32.2);32.2;"binnenwandopeningen; gevuld met ramen";"(32.2) binnenwandopeningen; gevuld met ramen";NL/SfB - Tabel 1 - (32.2)
nl-NL;NL/SfB;Tabel 1;(32.20);32.20;"binnenwandopeningen; gevuld met ramen, algemeen (verzamelniveau)";"(32.20) binnenwandopeningen; gevuld met ramen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (32.20)
nl-NL;NL/SfB;Tabel 1;(32.21);32.21;"binnenwandopeningen; gevuld met ramen, gesloten ramen";"(32.21) binnenwandopeningen; gevuld met ramen, gesloten ramen";NL/SfB - Tabel 1 - (32.21)
nl-NL;NL/SfB;Tabel 1;(32.22);32.22;"binnenwandopeningen; gevuld met ramen, ramen draaiend aan een kant";"(32.22) binnenwandopeningen; gevuld met ramen, ramen draaiend aan een kant";NL/SfB - Tabel 1 - (32.22)
nl-NL;NL/SfB;Tabel 1;(32.23);32.23;"binnenwandopeningen; gevuld met ramen, schuiframen";"(32.23) binnenwandopeningen; gevuld met ramen, schuiframen";NL/SfB - Tabel 1 - (32.23)
nl-NL;NL/SfB;Tabel 1;(32.24);32.24;"binnenwandopeningen; gevuld met ramen, ramen draaiend op verticale of horizontale as";"(32.24) binnenwandopeningen; gevuld met ramen, ramen draaiend op verticale of horizontale as";NL/SfB - Tabel 1 - (32.24)
nl-NL;NL/SfB;Tabel 1;(32.25);32.25;"binnenwandopeningen; gevuld met ramen, combinatieramen";"(32.25) binnenwandopeningen; gevuld met ramen, combinatieramen";NL/SfB - Tabel 1 - (32.25)
nl-NL;NL/SfB;Tabel 1;(32.3);32.3;"binnenwandopeningen; gevuld met deuren";"(32.3) binnenwandopeningen; gevuld met deuren";NL/SfB - Tabel 1 - (32.3)
nl-NL;NL/SfB;Tabel 1;(32.30);32.30;"binnenwandopeningen; gevuld met deuren, algemeen (verzamelniveau)";"(32.30) binnenwandopeningen; gevuld met deuren, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (32.30)
nl-NL;NL/SfB;Tabel 1;(32.31);32.31;"binnenwandopeningen; gevuld met deuren, draaideuren";"(32.31) binnenwandopeningen; gevuld met deuren, draaideuren";NL/SfB - Tabel 1 - (32.31)
nl-NL;NL/SfB;Tabel 1;(32.32);32.32;"binnenwandopeningen; gevuld met deuren, schuifdeuren";"(32.32) binnenwandopeningen; gevuld met deuren, schuifdeuren";NL/SfB - Tabel 1 - (32.32)
nl-NL;NL/SfB;Tabel 1;(32.33);32.33;"binnenwandopeningen; gevuld met deuren, tuimeldeuren";"(32.33) binnenwandopeningen; gevuld met deuren, tuimeldeuren";NL/SfB - Tabel 1 - (32.33)
nl-NL;NL/SfB;Tabel 1;(32.34);32.34;"binnenwandopeningen; gevuld met deuren, tourniquets";"(32.34) binnenwandopeningen; gevuld met deuren, tourniquets";NL/SfB - Tabel 1 - (32.34)
nl-NL;NL/SfB;Tabel 1;(32.4);32.4;"binnenwandopeningen; gevuld met puien";"(32.4) binnenwandopeningen; gevuld met puien";NL/SfB - Tabel 1 - (32.4)
nl-NL;NL/SfB;Tabel 1;(32.40);32.40;"binnenwandopeningen; gevuld met puien, algemeen (verzamelniveau)";"(32.40) binnenwandopeningen; gevuld met puien, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (32.40)
nl-NL;NL/SfB;Tabel 1;(32.41);32.41;"binnenwandopeningen; gevuld met puien, gesloten puien";"(32.41) binnenwandopeningen; gevuld met puien, gesloten puien";NL/SfB - Tabel 1 - (32.41)
nl-NL;NL/SfB;Tabel 1;(33);33;Vloeropeningen;(33) Vloeropeningen;NL/SfB - Tabel 1 - (33)
nl-NL;NL/SfB;Tabel 1;(33.0);33.0;"vloeropeningen; algemeen";"(33.0) vloeropeningen; algemeen";NL/SfB - Tabel 1 - (33.0)
nl-NL;NL/SfB;Tabel 1;(33.1);33.1;"vloeropeningen; niet gevuld";"(33.1) vloeropeningen; niet gevuld";NL/SfB - Tabel 1 - (33.1)
nl-NL;NL/SfB;Tabel 1;(33.10);33.10;"vloeropeningen; niet gevuld, algemeen (verzamelniveau)";"(33.10) vloeropeningen; niet gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (33.10)
nl-NL;NL/SfB;Tabel 1;(33.11);33.11;"vloeropeningen; niet gevuld, openingen als doorgang";"(33.11) vloeropeningen; niet gevuld, openingen als doorgang";NL/SfB - Tabel 1 - (33.11)
nl-NL;NL/SfB;Tabel 1;(33.12);33.12;"vloeropeningen; niet gevuld, openingen als doorzicht";"(33.12) vloeropeningen; niet gevuld, openingen als doorzicht";NL/SfB - Tabel 1 - (33.12)
nl-NL;NL/SfB;Tabel 1;(33.2);33.2;"vloeropeningen; gevuld";"(33.2) vloeropeningen; gevuld";NL/SfB - Tabel 1 - (33.2)
nl-NL;NL/SfB;Tabel 1;(33.20);33.20;"vloeropeningen; gevuld, algemeen (verzamelniveau)";"(33.20) vloeropeningen; gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (33.20)
nl-NL;NL/SfB;Tabel 1;(33.21);33.21;"vloeropeningen; gevuld, beloopbare vullingen";"(33.21) vloeropeningen; gevuld, beloopbare vullingen";NL/SfB - Tabel 1 - (33.21)
nl-NL;NL/SfB;Tabel 1;(33.22);33.22;"vloeropeningen; gevuld, niet-beloopbare vullingen";"(33.22) vloeropeningen; gevuld, niet-beloopbare vullingen";NL/SfB - Tabel 1 - (33.22)
nl-NL;NL/SfB;Tabel 1;(34);34;Balustrades en leuningen;(34) Balustrades en leuningen;NL/SfB - Tabel 1 - (34)
nl-NL;NL/SfB;Tabel 1;(34.0);34.0;"balustrades en leuningen; algemeen";"(34.0) balustrades en leuningen; algemeen";NL/SfB - Tabel 1 - (34.0)
nl-NL;NL/SfB;Tabel 1;(34.1);34.1;"balustrades en leuningen; balustrades";"(34.1) balustrades en leuningen; balustrades";NL/SfB - Tabel 1 - (34.1)
nl-NL;NL/SfB;Tabel 1;(34.10);34.10;"balustrades en leuningen; balustrades, algemeen (verzamelniveau)";"(34.10) balustrades en leuningen; balustrades, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (34.10)
nl-NL;NL/SfB;Tabel 1;(34.11);34.11;"balustrades en leuningen; balustrades, binnenbalustrades";"(34.11) balustrades en leuningen; balustrades, binnenbalustrades";NL/SfB - Tabel 1 - (34.11)
nl-NL;NL/SfB;Tabel 1;(34.12);34.12;"balustrades en leuningen; balustrades, buitenbalustrades";"(34.12) balustrades en leuningen; balustrades, buitenbalustrades";NL/SfB - Tabel 1 - (34.12)
nl-NL;NL/SfB;Tabel 1;(34.2);34.2;"balustrades en leuningen; leuningen";"(34.2) balustrades en leuningen; leuningen";NL/SfB - Tabel 1 - (34.2)
nl-NL;NL/SfB;Tabel 1;(34.20);34.20;"balustrades en leuningen; leuningen, algemeen (verzamelniveau)";"(34.20) balustrades en leuningen; leuningen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (34.20)
nl-NL;NL/SfB;Tabel 1;(34.21);34.21;"balustrades en leuningen; leuningen, binnenleuningen";"(34.21) balustrades en leuningen; leuningen, binnenleuningen";NL/SfB - Tabel 1 - (34.21)
nl-NL;NL/SfB;Tabel 1;(34.22);34.22;"balustrades en leuningen; leuningen, buitenleuningen";"(34.22) balustrades en leuningen; leuningen, buitenleuningen";NL/SfB - Tabel 1 - (34.22)
nl-NL;NL/SfB;Tabel 1;(35);35;-gereserveerd-;(35) -gereserveerd-;NL/SfB - Tabel 1 - (35)
nl-NL;NL/SfB;Tabel 1;(36);36;-gereserveerd-;(36) -gereserveerd-;NL/SfB - Tabel 1 - (36)
nl-NL;NL/SfB;Tabel 1;(37);37;Dakopeningen;(37) Dakopeningen;NL/SfB - Tabel 1 - (37)
nl-NL;NL/SfB;Tabel 1;(37.0);37.0;"dakopeningen; algemeen";"(37.0) dakopeningen; algemeen";NL/SfB - Tabel 1 - (37.0)
nl-NL;NL/SfB;Tabel 1;(37.1);37.1;"dakopeningen; niet gevuld";"(37.1) dakopeningen; niet gevuld";NL/SfB - Tabel 1 - (37.1)
nl-NL;NL/SfB;Tabel 1;(37.10);37.10;"dakopeningen; niet gevuld, algemeen (verzamelniveau)";"(37.10) dakopeningen; niet gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (37.10)
nl-NL;NL/SfB;Tabel 1;(37.11);37.11;"dakopeningen; niet gevuld, daglichtopeningen";"(37.11) dakopeningen; niet gevuld, daglichtopeningen";NL/SfB - Tabel 1 - (37.11)
nl-NL;NL/SfB;Tabel 1;(37.12);37.12;"dakopeningen; niet gevuld, buitenluchtopeningen";"(37.12) dakopeningen; niet gevuld, buitenluchtopeningen";NL/SfB - Tabel 1 - (37.12)
nl-NL;NL/SfB;Tabel 1;(37.2);37.2;"dakopeningen; gevuld";"(37.2) dakopeningen; gevuld";NL/SfB - Tabel 1 - (37.2)
nl-NL;NL/SfB;Tabel 1;(37.20);37.20;"dakopeningen; gevuld, algemeen (verzamelniveau)";"(37.20) dakopeningen; gevuld, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (37.20)
nl-NL;NL/SfB;Tabel 1;(37.21);37.21;"dakopeningen; gevuld, gesloten ramen";"(37.21) dakopeningen; gevuld, gesloten ramen";NL/SfB - Tabel 1 - (37.21)
nl-NL;NL/SfB;Tabel 1;(37.22);37.22;"dakopeningen; gevuld, ramen draaiend aan één kant";"(37.22) dakopeningen; gevuld, ramen draaiend aan één kant";NL/SfB - Tabel 1 - (37.22)
nl-NL;NL/SfB;Tabel 1;(37.23);37.23;"dakopeningen; gevuld, schuiframen";"(37.23) dakopeningen; gevuld, schuiframen";NL/SfB - Tabel 1 - (37.23)
nl-NL;NL/SfB;Tabel 1;(37.24);37.24;"dakopeningen; gevuld, ramen draaiend op een as";"(37.24) dakopeningen; gevuld, ramen draaiend op een as";NL/SfB - Tabel 1 - (37.24)
nl-NL;NL/SfB;Tabel 1;(37.25);37.25;"dakopeningen; gevuld, combinatieramen";"(37.25) dakopeningen; gevuld, combinatieramen";NL/SfB - Tabel 1 - (37.25)
nl-NL;NL/SfB;Tabel 1;(38);38;Inbouwpakketten;(38) Inbouwpakketten;NL/SfB - Tabel 1 - (38)
nl-NL;NL/SfB;Tabel 1;(38.0);38.0;"inbouwpakketten; algemeen";"(38.0) inbouwpakketten; algemeen";NL/SfB - Tabel 1 - (38.0)
nl-NL;NL/SfB;Tabel 1;(38.1);38.1;inbouwpakketten;(38.1) inbouwpakketten;NL/SfB - Tabel 1 - (38.1)
nl-NL;NL/SfB;Tabel 1;(38.10);38.10;"inbouwpakketten; algemeen (verzamelniveau)";"(38.10) inbouwpakketten; algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (38.10)
nl-NL;NL/SfB;Tabel 1;(38.11);38.11;"inbouwpakketten; inbouwpakketten met te openen delen";"(38.11) inbouwpakketten; inbouwpakketten met te openen delen";NL/SfB - Tabel 1 - (38.11)
nl-NL;NL/SfB;Tabel 1;(38.12);38.12;"inbouwpakketten; inbouwpakketten met gesloten delen";"(38.12) inbouwpakketten; inbouwpakketten met gesloten delen";NL/SfB - Tabel 1 - (38.12)
nl-NL;NL/SfB;Tabel 1;(39);39;-gereserveerd-;(39) -gereserveerd-;NL/SfB - Tabel 1 - (39)
nl-NL;NL/SfB;Tabel 1;(4-);4-;AFWERKINGEN;(4-) AFWERKINGEN;NL/SfB - Tabel 1 - (4-)
nl-NL;NL/SfB;Tabel 1;(40);40;-gereserveerd-;(40) -gereserveerd-;NL/SfB - Tabel 1 - (40)
nl-NL;NL/SfB;Tabel 1;(41);41;Buitenwandafwerkingen;(41) Buitenwandafwerkingen;NL/SfB - Tabel 1 - (41)
nl-NL;NL/SfB;Tabel 1;(41.0);41.0;"buitenwandafwerkingen; algemeen";"(41.0) buitenwandafwerkingen; algemeen";NL/SfB - Tabel 1 - (41.0)
nl-NL;NL/SfB;Tabel 1;(41.1);41.1;buitenwandafwerkingen;(41.1) buitenwandafwerkingen;NL/SfB - Tabel 1 - (41.1)
nl-NL;NL/SfB;Tabel 1;(41.10);41.10;"buitenwandafwerkingen; algemeen (verzamelniveau)";"(41.10) buitenwandafwerkingen; algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (41.10)
nl-NL;NL/SfB;Tabel 1;(41.11);41.11;"buitenwandafwerkingen; afwerklagen";"(41.11) buitenwandafwerkingen; afwerklagen";NL/SfB - Tabel 1 - (41.11)
nl-NL;NL/SfB;Tabel 1;(41.12);41.12;"buitenwandafwerkingen; bekledingen";"(41.12) buitenwandafwerkingen; bekledingen";NL/SfB - Tabel 1 - (41.12)
nl-NL;NL/SfB;Tabel 1;(41.13);41.13;"buitenwandafwerkingen; voorzetwanden";"(41.13) buitenwandafwerkingen; voorzetwanden";NL/SfB - Tabel 1 - (41.13)
nl-NL;NL/SfB;Tabel 1;(42);42;Binnenwandafwerkingen;(42) Binnenwandafwerkingen;NL/SfB - Tabel 1 - (42)
